gap_to_leader,interval,driver_number,date,session_key,meeting_key
19.331,0.005,31,2023-09-17T13:07:37.724000+00:00,9165,1219
41.019,0.003,1,2023-09-17T13:31:02.395000+00:00,9165,1219
