id,reference,name,nationality,wikipedia,base_team_id,country_code
4,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles,,GBR
172,eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun,,ITA
17,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor),,USA
76,ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,,GBR
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,,ITA
142,fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,,BRA
179,fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal,,ITA
178,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,,GBR
198,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,,IND
185,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti,,ITA
38,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash,,GBR
66,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),,GBR
77,gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby,,GBR
36,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini,,FRA
207,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,,USA
32,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor),,USA
133,hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing,,GBR
144,hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor),,GBR
98,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,,JPN
200,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,,ESP
25,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,,GBR
130,iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro,,GBR
189,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,,GBR
65,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW,,GBR
177,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,,IRL
159,kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen,,DEU
