id,position,is_classified,status,detail,points,is_eligible_for_points,grid,time,fastest_lap_rank,laps_completed,round_entry_id,session_id
1,1,t,0,Finished,9,t,1,02:13:23.6,,70,1,1
2,2,t,0,Finished,6,t,2,02:13:26.2,,70,2,1
3,3,t,0,Finished,4,t,4,02:14:15.6,,70,3,1
4,4,t,1,+2 Laps,3,t,6,,,68,4,1
5,5,t,1,+2 Laps,2,t,9,,,68,5,1
6,6,t,1,+3 Laps,0,t,13,,,67,6,1
7,7,t,1,+3 Laps,0,t,15,,,67,7,1
8,8,t,1,+5 Laps,0,t,14,,,65,8,1
9,9,t,1,+6 Laps,0,t,16,,,64,9,1
10,10,t,1,+6 Laps,0,t,20,,,64,10,1
11,10,t,1,+6 Laps,0,t,20,,,64,11,1
12,11,t,1,+6 Laps,0,t,21,,,64,12,1
13,12,f,11,Oil leak,0,t,3,,,62,13,1
14,13,f,1,Not classified,0,t,19,,,57,14,1
15,14,f,11,Out of fuel,0,t,5,,,49,15,1
16,15,f,11,Engine,0,t,18,,,44,16,1
17,16,f,11,Transmission,0,t,17,,,43,17,1
18,17,f,11,Engine,0,t,8,,,36,18,1
19,18,f,11,Clutch,0,t,11,,,26,19,1
20,19,f,11,Oil pressure,0,t,7,,,8,20,1
21,20,f,11,Gearbox,0,t,10,,,5,21,1
22,20,f,11,Gearbox,0,t,10,,,5,22,1
23,21,f,11,Supercharger,0,t,12,,,2,23,1
24,1,t,0,Finished,9,t,1,03:13:18.7,,100,24,4
25,2,t,1,+1 Lap,6,t,7,,,99,25,4
26,3,t,1,+2 Laps,4,t,8,,,98,26,4
27,4,t,1,+3 Laps,3,t,9,,,97,27,4
28,5,t,1,+5 Laps,2,t,15,,,95,28,4
29,6,t,1,+6 Laps,0,t,16,,,94,29,4
30,7,t,1,+6 Laps,0,t,19,,,94,30,4
31,8,f,11,Axle,0,t,6,,,63,31,4
32,9,f,11,Oil leak,0,t,4,,,38,32,4
33,10,f,10,Accident,0,t,3,,,1,33,4
34,11,f,10,Accident,0,t,2,,,0,34,4
35,12,f,10,Accident,0,t,5,,,0,35,4
36,13,f,10,Accident,0,t,10,,,0,36,4
37,14,f,10,Accident,0,t,11,,,0,37,4
38,15,f,10,Accident,0,t,12,,,0,38,4
39,16,f,10,Accident,0,t,13,,,0,39,4
40,17,f,10,Accident,0,t,14,,,0,40,4
41,18,f,10,Accident,0,t,17,,,0,41,4
42,19,f,10,Collision,0,t,20,,,0,42,4
43,20,f,30,Engine,0,t,21,,,0,43,4
44,21,f,30,Accident,0,t,18,,,0,44,4
45,1,t,0,Finished,9,t,5,02:46:55.97,,138,45,7
46,2,t,1,+1 Lap,6,t,10,,,137,46,7
47,3,t,1,+1 Lap,4,t,3,,,137,47,7
48,4,t,1,+1 Lap,3,t,12,,,137,48,7
49,5,t,1,+2 Laps,1,t,9,,,136,49,7
50,5,t,1,+2 Laps,1,t,9,,,136,50,7
51,6,t,1,+2 Laps,0,t,23,,,136,51,7
52,7,t,1,+3 Laps,0,t,1,,,135,52,7
53,8,t,1,+3 Laps,0,t,4,,,135,53,7
54,9,t,1,+3 Laps,0,t,19,,,135,54,7
55,10,t,1,+3 Laps,0,t,11,,,135,55,7
56,11,t,1,+5 Laps,0,t,16,,,133,56,7
57,12,t,1,+5 Laps,0,t,13,,,133,57,7
58,13,t,1,+6 Laps,0,t,26,,,132,58,7
59,14,t,10,Spun off,0,t,6,,,131,59,7
60,15,t,1,+8 Laps,0,t,24,,,130,60,7
61,16,t,1,+10 Laps,0,t,31,,,128,61,7
62,17,t,1,+10 Laps,0,t,27,,,128,62,7
63,18,t,1,+10 Laps,0,t,33,,,128,63,7
64,19,t,1,+11 Laps,0,t,20,,,127,64,7
65,20,t,1,+12 Laps,0,t,14,,,126,65,7
66,21,t,1,+13 Laps,0,t,15,,,125,66,7
67,22,t,1,+15 Laps,0,t,29,,,123,67,7
68,23,t,10,Spun off,0,t,30,,,123,68,7
69,24,t,1,+16 Laps,0,t,28,,,122,69,7
70,25,f,11,Oil line,0,t,21,,,112,70,7
71,26,f,11,Transmission,0,t,22,,,111,71,7
72,27,f,11,Oil pressure,0,t,17,,,108,72,7
73,27,f,11,Oil pressure,0,t,17,,,108,73,7
74,28,f,11,Oil leak,0,t,2,,,64,74,7
75,29,f,11,Supercharger,0,t,32,,,52,75,7
76,30,f,11,Oil pressure,0,t,25,,,42,76,7
77,31,f,11,Wheel bearing,0,t,8,,,30,77,7
78,32,f,11,Stalled,0,t,18,,,25,78,7
79,33,f,11,Oil leak,0,t,7,,,10,79,7
80,1,t,0,Finished,9,t,2,02:02:53.7,,42,80,10
81,2,t,0,Finished,6,t,3,02:02:54.1,,42,81,10
82,3,t,1,+1 Lap,4,t,10,,,41,82,10
83,4,t,1,+2 Laps,3,t,8,,,40,83,10
84,5,t,1,+2 Laps,2,t,12,,,40,84,10
85,6,t,1,+2 Laps,0,t,11,,,40,85,10
86,7,t,1,+3 Laps,0,t,15,,,39,86,10
87,8,t,1,+3 Laps,0,t,18,,,39,87,10
88,9,t,1,+3 Laps,0,t,16,,,39,88,10
89,10,t,1,+4 Laps,0,t,14,,,38,89,10
90,11,t,1,+7 Laps,0,t,17,,,35,90,10
91,12,f,11,Engine,0,t,1,,,32,91,10
92,13,f,11,Gearbox,0,t,6,,,25,92,10
93,14,f,10,Accident,0,t,9,,,19,93,10
94,15,f,11,Suspension,0,t,13,,,19,94,10
95,16,f,11,Engine,0,t,4,,,9,95,10
96,17,f,11,Oil pump,0,t,5,,,4,96,10
97,18,f,10,Accident,0,t,7,,,0,97,10
98,1,t,0,Finished,8,t,2,02:47:26,,35,98,13
99,2,t,0,Finished,6,t,3,02:47:40,,35,99,13
100,3,t,0,Finished,4,t,8,02:49:45,,35,100,13
101,4,t,0,Finished,4,t,1,02:51:31,,35,101,13
102,5,t,1,+1 Lap,2,t,7,,,34,102,13
103,6,t,1,+2 Laps,0,t,4,,,33,103,13
104,7,t,1,+2 Laps,0,t,10,,,33,104,13
105,8,t,1,+3 Laps,0,t,14,,,22,105,13
106,9,t,1,+5 Laps,0,t,12,,,30,106,13
107,10,t,1,+6 Laps,0,t,11,,,29,107,13
108,11,f,11,Oil pipe,0,t,13,,,22,108,13
109,12,f,11,Oil pressure,0,t,5,,,20,109,13
110,13,f,11,Overheating,0,t,6,,,15,110,13
111,14,f,11,Oil pipe,0,t,9,,,2,111,13
112,1,t,0,Finished,9,t,1,02:57:52.8,,64,112,16
113,2,t,0,Finished,6,t,3,02:58:18.5,,64,113,16
114,3,t,1,+3 Laps,4,t,18,,,61,114,16
115,4,t,1,+3 Laps,3,t,12,,,61,115,16
116,5,t,1,+5 Laps,1,t,4,,,59,116,16
117,5,t,1,+5 Laps,1,t,4,,,59,117,16
118,6,t,1,+8 Laps,0,t,15,,,56,118,16
119,6,t,1,+8 Laps,0,t,15,,,56,119,16
120,7,t,11,Fuel pump,0,t,2,,,55,120,16
121,8,t,1,+12 Laps,0,t,5,,,52,121,16
122,9,f,11,Engine,0,t,9,,,36,122,16
123,10,f,11,Engine,0,t,10,,,14,123,16
124,11,f,11,Overheating,0,t,14,,,11,124,16
125,12,f,11,Overheating,0,t,6,,,10,125,16
126,13,f,11,Engine,0,t,11,,,9,126,16
127,14,f,11,Engine,0,t,7,,,6,127,16
128,15,f,11,Engine,0,t,13,,,6,128,16
129,16,f,11,Engine,0,t,17,,,5,129,16
130,17,f,11,Overheating,0,t,16,,,4,130,16
131,18,f,11,Engine,0,t,8,,,3,131,16
132,1,t,0,Finished,8,t,3,02:51:17.4,,80,132,19
133,2,t,0,Finished,3,t,6,02:52:36,,80,133,19
134,2,t,0,Finished,3,t,6,,,80,134,19
135,3,t,0,Finished,4,t,5,02:52:53,,80,135,19
136,4,t,1,+5 Laps,3,t,13,,,75,136,19
137,5,t,1,+5 Laps,2,t,16,,,75,137,19
138,6,t,1,+8 Laps,0,t,17,,,72,138,19
139,7,t,1,+8 Laps,0,t,18,,,72,139,19
140,8,f,11,Gearbox,0,t,24,,,56,140,19
141,9,f,11,Radiator,0,t,21,,,51,141,19
142,10,f,11,Gearbox,0,t,8,,,48,142,19
143,11,f,11,Oil pipe,0,t,11,,,42,143,19
144,12,f,11,Retired,0,t,9,,,39,144,19
145,13,f,11,Engine,0,t,7,,,34,145,19
146,13,f,11,Engine,0,t,7,,,34,146,19
147,14,f,11,Gearbox,0,t,20,,,29,147,19
148,15,f,11,Gearbox,1,t,1,,,23,148,19
149,16,f,11,Overheating,0,t,22,,,22,149,19
150,17,f,11,Engine,0,t,2,,,21,150,19
151,18,f,11,Engine,0,t,25,,,17,151,19
152,19,f,11,Brakes,0,t,16,,,16,152,19
153,20,f,11,Retired,0,t,26,,,15,153,19
154,21,f,11,Water pipe,0,t,12,,,13,154,19
155,22,f,11,Oil pressure,0,t,19,,,13,155,19
156,23,f,11,Engine,0,t,4,,,11,156,19
157,24,f,11,Transmission,0,t,10,,,7,157,19
158,25,f,11,Engine,0,t,15,,,1,158,19
159,26,f,11,Engine,0,t,27,,,0,159,19
160,27,f,30,Withdrew,0,t,23,,,0,160,19
161,1,t,0,Finished,9,t,1,02:07:53.64,,42,161,22
162,2,t,0,Finished,6,t,6,02:08:48.88,,42,162,22
163,3,t,0,Finished,4,t,2,02:09:12.95,,42,163,22
164,4,t,1,+1 Lap,3,t,4,,,41,164,22
165,5,t,1,+2 Laps,2,t,5,,,40,165,22
166,6,t,1,+2 Laps,0,t,7,,,40,166,22
167,7,t,1,+2 Laps,0,t,19,,,40,167,22
168,8,t,1,+2 Laps,0,t,14,,,40,168,22
169,9,t,1,+3 Laps,0,t,8,,,39,169,22
170,10,t,1,+3 Laps,0,t,12,,,39,170,22
14449,17,,,,,t,,,,,14425,1646
171,11,t,1,+3 Laps,0,t,10,,,39,171,22
172,12,t,1,+4 Laps,0,t,17,,,38,172,22
173,13,t,1,+7 Laps,0,t,18,,,35,173,22
174,14,t,1,+11 Laps,0,t,21,,,31,174,22
175,15,f,10,Accident,0,t,9,,,36,175,22
176,16,f,10,Accident,0,t,11,,,30,176,22
177,17,f,11,Magneto,0,t,20,,,23,177,22
178,18,f,11,Ignition,0,t,15,,,14,178,22
179,19,f,10,Accident,0,t,3,,,12,179,22
180,20,f,11,Oil pump,0,t,13,,,10,180,22
181,21,f,11,Fuel system,0,t,16,,,0,181,22
182,1,t,0,Finished,9,t,2,03:57:38.05,,200,182,25
183,2,t,0,Finished,6,t,7,03:59:25.29,,200,183,25
184,3,t,0,Finished,2,t,3,04:00:29.44,,200,184,25
185,3,t,0,Finished,2,t,3,04:00:29.44,,200,185,25
186,4,t,0,Finished,3,t,31,04:02:18.17,,200,186,25
187,5,t,0,Finished,2,t,29,04:02:30.28,,200,187,25
188,6,t,0,Finished,0,t,17,04:03:18.07,,200,188,25
189,7,t,1,+7 Laps,0,t,24,,,193,189,25
190,8,t,1,+20 Laps,0,t,4,,,180,190,25
191,9,f,10,Spun off,0,t,9,,,178,191,25
192,10,f,11,Retired,0,t,1,,,151,192,25
193,11,f,11,Engine,0,t,22,,,142,193,25
194,12,f,11,Engine,0,t,12,,,135,194,25
195,13,f,11,Engine,0,t,16,,,129,195,25
196,14,f,10,Accident,0,t,5,,,126,196,25
197,15,f,11,Engine,0,t,14,,,123,197,25
198,16,f,11,Axle,0,t,27,,,110,198,25
199,17,f,11,Clutch,0,t,11,,,109,199,25
200,18,f,11,Heat shield fire,0,t,15,,,93,200,25
201,19,f,11,Clutch,0,t,33,,,97,201,25
202,20,f,11,Heat shield fire,0,t,19,,,93,202,25
203,21,f,11,Magneto,0,t,8,,,87,203,25
204,22,f,11,Engine,0,t,10,,,80,204,25
205,23,f,11,Engine,0,t,6,,,78,205,25
206,24,f,11,Overheating,0,t,32,,,73,206,25
207,25,f,11,Ignition,0,t,28,,,56,207,25
208,26,f,11,Magneto,0,t,13,,,55,208,25
209,27,f,11,Oil pipe,0,t,25,,,34,209,25
210,28,f,11,Axle,0,t,18,,,30,210,25
211,29,f,11,Oil leak,0,t,20,,,29,211,25
212,30,f,11,Transmission,0,t,21,,,29,212,25
213,31,f,11,Engine,0,t,23,,,18,213,25
214,32,f,11,Fuel leak,0,t,26,,,15,214,25
215,33,f,11,Transmission,0,t,30,,,8,215,25
216,1,t,0,Finished,8,t,2,02:45:46.2,,36,216,28
217,2,t,0,Finished,6,t,4,02:48:37.2,,36,217,28
218,3,t,0,Finished,4,t,3,02:50:08.1,,36,218,28
219,4,t,1,+2 Laps,3,t,7,,,34,219,28
220,5,t,1,+2 Laps,2,t,8,,,34,220,28
221,6,t,1,+3 Laps,0,t,12,,,33,221,28
222,7,t,1,+3 Laps,0,t,11,,,33,222,28
223,8,t,1,+4 Laps,0,t,13,,,32,223,28
224,9,t,1,+4 Laps,1,t,1,,,32,224,28
225,10,f,11,Engine,0,t,9,,,28,225,28
226,11,f,11,Radiator,0,t,6,,,11,226,28
227,12,f,11,Transmission,0,t,5,,,8,227,28
228,13,f,11,Transmission,0,t,10,,,0,228,28
229,1,t,0,Finished,5,t,7,03:22:11,,77,229,31
230,1,t,0,Finished,4,t,7,03:22:11,,77,230,31
231,2,t,0,Finished,3,t,6,03:23:09.2,,77,231,31
232,2,t,0,Finished,3,t,6,03:23:09.2,,77,232,31
233,3,t,1,+3 Laps,4,t,4,,,74,233,31
234,4,t,1,+4 Laps,3,t,9,,,73,234,31
235,5,t,1,+4 Laps,2,t,2,,,73,235,31
236,6,t,1,+6 Laps,0,t,8,,,71,236,31
237,7,t,1,+6 Laps,0,t,11,,,71,237,31
238,8,t,1,+8 Laps,0,t,14,,,69,238,31
239,9,t,1,+11 Laps,0,t,19,,,66,239,31
240,10,t,1,+19 Laps,0,t,5,,,58,240,31
241,11,t,1,+22 Laps,0,t,1,,,55,241,31
242,11,t,1,+22 Laps,0,t,1,,,55,242,31
243,12,f,10,Accident,0,t,12,,,54,243,31
244,13,f,11,Transmission,0,t,13,,,43,244,31
245,14,f,11,Engine,0,t,10,,,37,245,31
246,15,f,11,Engine,0,t,17,,,27,246,31
247,16,f,11,Overheating,0,t,22,,,23,247,31
248,17,f,11,Engine,0,t,18,,,11,248,31
249,18,f,11,Gearbox,0,t,3,,,10,249,31
250,19,f,11,Engine,0,t,21,,,7,250,31
251,20,f,11,Engine,0,t,23,,,3,251,31
252,21,f,11,Engine,0,t,15,,,2,252,31
253,22,f,11,Transmission,0,t,16,,,1,253,31
254,23,f,11,Engine,0,t,20,,,1,254,31
255,1,t,0,Finished,8,t,1,02:42:18.2,,90,255,34
256,2,t,0,Finished,6,t,2,02:43:09.2,,90,256,34
257,3,t,1,+2 Laps,4,t,5,,,88,257,34
258,4,t,1,+3 Laps,3,t,7,,,87,258,34
259,5,t,1,+5 Laps,2,t,20,,,85,259,34
260,6,t,1,+6 Laps,0,t,6,,,84,260,34
261,7,t,1,+6 Laps,0,t,19,,,84,261,34
262,8,t,1,+6 Laps,0,t,12,,,84,262,34
263,9,t,1,+7 Laps,0,t,8,,,83,263,34
264,10,t,1,+7 Laps,0,t,9,,,83,264,34
265,11,t,1,+8 Laps,0,t,10,,,82,265,34
266,12,t,1,+9 Laps,0,t,11,,,81,266,34
267,13,t,1,+10 Laps,0,t,14,,,80,267,34
268,14,f,11,Clutch,1,t,3,,,75,268,34
269,15,f,1,Not classified,0,t,18,,,75,269,34
270,16,f,11,Gearbox,0,t,4,,,56,270,34
271,17,f,11,Oil leak,0,t,16,,,46,271,34
272,18,f,11,Engine,0,t,15,,,45,272,34
273,19,f,11,Brakes,0,t,13,,,41,273,34
274,20,f,11,Radiator,0,t,17,,,23,274,34
275,1,t,0,Finished,8,t,1,03:23:03.3,,20,275,37
276,2,t,0,Finished,7,t,3,03:23:33.8,,20,276,37
277,3,t,0,Finished,4,t,2,03:27:42.3,,20,277,37
278,4,t,0,Finished,3,t,5,03:28:53.5,,20,278,37
279,5,t,0,Finished,2,t,6,03:30:52.4,,20,279,37
280,6,t,1,+1 Lap,0,t,8,,,19,280,37
281,7,t,1,+1 Lap,0,t,9,,,19,281,37
282,8,t,1,+1 Lap,0,t,15,,,19,282,37
283,9,t,1,+2 Laps,0,t,19,,,18,283,37
284,10,t,1,+2 Laps,0,t,22,,,18,284,37
285,11,t,1,+3 Laps,0,t,18,,,17,285,37
286,12,f,10,Accident,0,t,11,,,17,286,37
287,13,f,11,Engine,0,t,14,,,13,287,37
288,14,f,11,Magneto,0,t,10,,,12,288,37
289,15,f,11,Oil pressure,0,t,20,,,12,289,37
290,16,f,10,Accident,0,t,7,,,11,290,37
291,17,f,11,Engine,0,t,12,,,11,291,37
292,18,f,11,Overheating,0,t,4,,,8,292,37
293,19,f,11,Gearbox,0,t,21,,,4,293,37
294,20,f,11,Ignition,0,t,13,,,3,294,37
295,21,f,11,Engine,0,t,17,,,3,295,37
296,22,f,11,Engine,0,t,16,,,2,296,37
297,1,t,0,Finished,8,t,3,02:42:39.3,,80,297,40
298,2,t,0,Finished,6,t,4,02:43:03.9,,80,298,40
299,3,t,1,+1 Lap,2,t,7,,,79,299,40
300,3,t,1,+1 Lap,3,t,7,,,79,300,40
301,4,t,1,+1 Lap,3,t,5,,,79,301,40
302,5,t,1,+2 Laps,2,t,6,,,78,302,40
303,6,t,1,+6 Laps,0,t,11,,,74,303,40
304,7,t,1,+7 Laps,0,t,15,,,73,304,40
305,8,t,1,+8 Laps,0,t,14,,,72,305,40
306,9,t,1,+13 Laps,0,t,18,,,67,306,40
307,10,f,11,Engine,0,t,1,,,39,307,40
308,11,f,11,Engine,0,t,12,,,29,308,40
309,12,f,11,Engine,0,t,13,,,29,309,40
310,13,f,11,Ignition,0,t,17,,,23,310,40
311,14,f,11,Engine,0,t,20,,,9,311,40
312,15,f,11,Overheating,0,t,22,,,7,312,40
313,16,f,11,Engine,0,t,2,,,6,313,40
314,17,f,11,Oil pump,0,t,21,,,4,314,40
315,18,f,11,Supercharger,0,t,9,,,1,315,40
316,19,f,11,Magneto,0,t,19,,,1,316,40
317,20,f,11,Transmission,0,t,16,,,0,317,40
318,21,f,30,Withdrew,0,t,8,,,0,318,40
319,22,f,30,Withdrew,0,t,10,,,0,319,40
320,1,t,0,Finished,9,t,2,02:46:54.1,,70,320,43
321,2,t,0,Finished,6,t,3,02:47:48.38,,70,321,43
322,3,t,0,Finished,4,t,4,02:48:39.64,,70,322,43
323,4,t,1,+2 Laps,3,t,1,,,68,323,43
324,5,t,1,+2 Laps,2,t,8,,,68,324,43
325,6,t,1,+4 Laps,0,t,6,,,66,325,43
326,7,t,1,+6 Laps,0,t,20,,,64,326,43
327,8,t,1,+7 Laps,0,t,13,,,63,327,43
328,9,t,1,+7 Laps,0,t,9,,,63,328,43
329,10,t,1,+10 Laps,0,t,17,,,60,329,43
330,11,f,11,Ignition,0,t,5,,,48,330,43
331,12,f,11,Engine,0,t,10,,,48,331,43
332,13,f,10,Accident,0,t,15,,,37,332,43
333,14,f,11,Wheel,0,t,7,,,30,333,43
334,15,f,11,Engine,0,t,11,,,25,334,43
335,16,f,11,Engine,0,t,16,,,23,335,43
336,17,f,10,Accident,0,t,14,,,7,336,43
337,18,f,11,Ignition,0,t,12,,,4,337,43
338,19,f,11,Engine,0,t,19,,,1,338,43
339,20,f,30,Engine,0,t,18,,,0,339,43
340,1,t,0,Finished,9,t,2,03:01:46.1,,62,340,46
341,2,t,0,Finished,6,t,5,03:04:23.3,,62,341,46
342,3,t,1,+1 Lap,4,t,7,,,61,342,46
343,4,t,1,+2 Laps,3,t,13,,,60,343,46
344,5,t,1,+3 Laps,2,t,15,,,59,344,46
345,6,t,1,+4 Laps,0,t,8,,,58,345,46
346,7,t,1,+6 Laps,0,t,19,,,56,346,46
347,8,t,1,+7 Laps,0,t,17,,,55,347,46
348,9,f,11,Engine,0,t,11,,,52,348,46
349,10,f,11,Magneto,0,t,4,,,51,349,46
350,10,f,11,Magneto,0,t,4,,,51,350,46
351,11,f,11,Engine,0,t,18,,,31,351,46
352,12,f,30,Withdrew,0,t,9,,,24,352,46
353,13,f,30,Withdrew,0,t,12,,,24,353,46
354,14,f,11,Radiator,0,t,3,,,20,354,46
355,15,f,11,Magneto,0,t,1,,,16,355,46
356,16,f,11,Halfshaft,0,t,6,,,12,356,46
357,17,f,11,Halfshaft,0,t,10,,,12,357,46
358,18,f,11,Engine,0,t,14,,,4,358,46
359,19,f,11,Fuel leak,0,t,16,,,4,359,46
360,20,f,10,Accident,0,t,20,,,2,360,46
361,21,f,11,Magneto,0,t,21,,,1,361,46
362,1,t,0,Finished,8,t,7,03:52:41.88,,200,362,49
363,2,t,0,Finished,6,t,10,03:56:44.21,,200,363,49
364,3,t,0,Finished,4,t,5,03:58:53.49,,200,364,49
365,4,t,0,Finished,3,t,6,03:59:30.22,,200,365,49
366,5,t,0,Finished,2,t,20,04:01:22.03,,200,366,49
367,6,t,0,Finished,0,t,21,04:02:06.2,,200,367,49
368,7,t,0,Finished,0,t,23,04:03:17.12,,200,368,49
369,8,t,0,Finished,0,t,14,04:04:42.49,,200,369,49
370,9,t,0,Finished,0,t,9,04:05:05.64,,200,370,49
371,10,t,0,Finished,0,t,31,04:06:19.66,,200,371,49
372,11,t,0,Finished,0,t,3,04:07:03.6,,200,372,49
373,12,t,0,Finished,0,t,26,04:08:46.98,,200,373,49
374,13,t,0,Finished,0,t,16,04:09:37.53,,200,374,49
375,14,t,0,Finished,0,t,15,04:11:30.54,,200,375,49
376,15,t,1,+3 Laps,0,t,13,,,197,376,49
377,16,t,1,+7 Laps,0,t,24,,,193,377,49
378,17,t,11,Steering,1,t,8,,,191,378,49
379,18,t,1,+13 Laps,0,t,11,,,187,379,49
380,19,t,1,+16 Laps,0,t,12,,,184,380,49
381,20,t,1,+16 Laps,0,t,28,,,184,381,49
382,21,t,1,+18 Laps,0,t,33,,,182,382,49
383,22,f,11,Oil leak,0,t,29,,,162,383,49
384,23,f,11,Oil pressure,0,t,22,,,130,384,49
385,24,f,11,Oil pressure,0,t,30,,,93,385,49
386,25,f,11,Supercharger,0,t,4,,,84,386,49
387,26,f,11,Differential,0,t,32,,,77,387,49
388,27,f,11,Turbo,0,t,1,,,71,388,49
389,28,f,11,Exhaust,0,t,18,,,65,389,49
390,29,f,11,Transmission,0,t,25,,,49,390,49
391,30,f,11,Supercharger,0,t,27,,,41,391,49
392,31,f,11,Wheel,0,t,19,,,40,392,49
393,32,f,11,Gearbox,0,t,17,,,34,393,49
394,33,f,11,Oil pump,0,t,2,,,20,394,49
395,1,t,0,Finished,9,t,1,03:03:46.3,,36,395,52
396,2,t,0,Finished,6,t,2,03:05:41.5,,36,396,52
397,3,t,0,Finished,4,t,4,03:08:14.7,,36,397,52
398,4,t,1,+1 Lap,3,t,6,,,35,398,52
399,5,t,1,+2 Laps,2,t,8,,,34,399,52
400,6,t,1,+2 Laps,0,t,9,,,34,400,52
401,7,t,1,+3 Laps,0,t,13,,,33,401,52
402,8,t,1,+3 Laps,0,t,19,,,33,402,52
403,9,t,1,+3 Laps,0,t,12,,,33,403,52
404,10,t,1,+4 Laps,0,t,18,,,32,404,52
405,11,t,1,+4 Laps,0,t,14,,,32,405,52
406,12,t,1,+4 Laps,0,t,20,,,32,406,52
407,13,t,1,+5 Laps,0,t,21,,,31,407,52
408,14,t,1,+6 Laps,0,t,22,,,30,408,52
409,15,t,1,+6 Laps,0,t,16,,,30,409,52
410,16,f,11,Engine,0,t,15,,,17,410,52
411,17,f,10,Accident,0,t,3,,,13,411,52
412,18,f,10,Accident,0,t,5,,,13,412,52
413,19,f,10,Spun off,0,t,7,,,10,413,52
414,20,f,11,Transmission,0,t,17,,,6,414,52
415,21,f,11,Halfshaft,0,t,11,,,3,415,52
416,22,f,11,Engine,0,t,10,,,0,416,52
417,1,t,0,Finished,9,t,1,03:00:00,,77,417,55
418,2,t,1,+1 Lap,6,t,2,,,76,418,55
419,3,t,1,+2 Laps,4,t,3,,,75,419,55
420,4,t,1,+3 Laps,3,t,5,,,74,420,55
421,5,t,1,+5 Laps,2,t,6,,,72,421,55
14643,17,,,,,t,,,,,14537,1658
422,6,t,1,+7 Laps,0,t,8,,,70,422,55
423,7,t,1,+7 Laps,0,t,4,,,70,423,55
424,8,t,1,+7 Laps,0,t,18,,,70,424,55
425,9,t,1,+7 Laps,0,t,14,,,70,425,55
426,10,t,1,+9 Laps,0,t,10,,,68,426,55
427,11,t,1,+11 Laps,0,t,17,,,66,427,55
428,11,t,1,+11 Laps,0,t,17,,,66,428,55
429,12,t,1,+14 Laps,0,t,16,,,63,429,55
430,13,f,11,Axle,0,t,7,,,56,430,55
431,14,f,11,Ignition,0,t,15,,,51,431,55
432,15,f,11,Brakes,0,t,12,,,34,432,55
433,15,f,11,Brakes,0,t,12,,,34,433,55
434,16,f,11,Clutch,0,t,13,,,17,434,55
435,17,f,11,Engine,0,t,9,,,17,435,55
436,18,f,11,Engine,0,t,20,,,15,436,55
437,19,f,11,Gearbox,0,t,11,,,7,437,55
438,20,f,11,Engine,0,t,19,,,2,438,55
439,1,t,0,Finished,9,t,2,02:46:11,,85,439,58
440,2,t,1,+1 Lap,6,t,3,,,84,440,58
441,3,t,1,+2 Laps,4,t,7,,,83,441,58
442,4,t,1,+2 Laps,3,t,8,,,83,442,58
443,5,t,1,+3 Laps,2,t,9,,,82,443,58
444,6,t,1,+3 Laps,0,t,1,,,82,444,58
445,7,t,1,+3 Laps,0,t,6,,,82,445,58
446,8,t,1,+3 Laps,0,t,19,,,82,446,58
447,9,t,1,+3 Laps,0,t,5,,,82,447,58
448,10,t,1,+4 Laps,0,t,20,,,81,448,58
449,11,t,1,+4 Laps,0,t,10,,,81,449,58
450,12,t,1,+5 Laps,0,t,12,,,80,450,58
451,13,t,1,+5 Laps,0,t,15,,,80,451,58
452,14,t,1,+6 Laps,0,t,23,,,79,452,58
453,15,t,1,+6 Laps,0,t,29,,,79,453,58
454,16,t,1,+6 Laps,0,t,17,,,79,454,58
455,17,t,1,+7 Laps,0,t,32,,,78,455,58
456,18,t,1,+8 Laps,0,t,28,,,77,456,58
457,19,t,1,+9 Laps,0,t,31,,,76,457,58
458,20,t,1,+9 Laps,0,t,18,,,76,458,58
459,21,t,1,+10 Laps,0,t,25,,,75,459,58
460,22,t,1,+16 Laps,0,t,13,,,69,460,58
461,23,f,11,Ignition,0,t,14,,,73,461,58
462,24,f,11,Engine,0,t,11,,,44,462,58
463,25,f,11,Engine,0,t,16,,,36,463,58
464,26,f,11,Gearbox,0,t,21,,,21,464,58
465,27,f,11,Engine,0,t,26,,,19,465,58
466,28,f,11,Engine,0,t,22,,,14,466,58
467,29,f,11,Clutch,0,t,4,,,9,467,58
468,30,f,11,Brakes,0,t,24,,,3,468,58
469,31,f,11,Brakes,0,t,27,,,0,469,58
470,32,f,30,Withdrew,0,t,0,,,0,470,58
471,1,t,0,Finished,9,t,1,03:06:13.3,,18,471,61
472,2,t,0,Finished,6,t,2,03:06:27.4,,18,472,61
473,3,t,0,Finished,4,t,6,03:13:23.4,,18,473,61
474,4,t,1,+1 Lap,3,t,5,,,17,474,61
475,5,t,1,+1 Lap,2,t,11,,,17,475,61
476,6,t,1,+2 Laps,0,t,17,,,16,476,61
477,7,t,1,+2 Laps,0,t,12,,,16,477,61
478,8,t,1,+2 Laps,0,t,15,,,16,478,61
479,9,t,1,+3 Laps,0,t,22,,,15,479,61
480,10,t,1,+3 Laps,0,t,32,,,15,480,61
481,11,t,1,+4 Laps,0,t,8,,,14,481,61
482,12,t,1,+4 Laps,0,t,29,,,14,482,61
483,13,f,10,Accident,0,t,4,,,8,483,61
484,14,f,11,Retired,0,t,9,,,7,484,61
485,15,f,11,Gearbox,0,t,14,,,6,485,61
486,16,f,11,Engine,0,t,19,,,5,486,61
